"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\core\app_routes.dart", "Dart", 10, 2, -5, 7
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\auth\change_password\change_password.dart", "Dart", -10, 1, 2, -7
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\auth\change_password\change_password_controller.dart", "Dart", 6, 0, 2, 8
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\auth\password\new_password_screen.dart", "Dart", -13, 10, 1, -2
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\auth\password\reset_password_otp_screen.dart", "Dart", 30, 13, 1, 44
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\data\profile\login_settings\login_settings_controller.dart", "Dart", 4, 0, 2, 6
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\data\profile\login_settings\login_settings_screen.dart", "Dart", 81, 1, 7, 89
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\data\profile\profile_screen.dart", "Dart", 4, 0, 0, 4
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\styles\text_size.dart", "Dart", 3, 0, 1, 4
"Total", "-", 115, 27, 11, 153